TYPE,CONTENT,DESCRIPTION,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE
task,DD Lab: 1. Verification of Boolean Theorems using basic gates. (9/11),,,,,,2023-09-15,,
task,DSA Lab: 1. Represent polynomial expression as linked list and write functions for polynomial manipulation (9/9),,,,,,2023-09-15,,
task,Math-I: Predicates and quantifiers (3/3),,,,,,2023-09-15,,
task,OOP Lab: 1. Build an application using classes and objects (Eg: Electricity bill generation) (9/12),,,,,,2023-09-15,,
task,Eng-I: Self-Exploration (2/2),,,,,,2023-09-15,,
task,OOP-I: Inheritance (1/2),,,,,,2023-09-15,,
task,DSA-I: List ADT: Array implementation of lists (3/3),,,,,,2023-09-15,,
task,DD-I: Boolean Algebra and Logic Gates (1/3),,,,,,2023-09-15,,
task,Math-I: Nested quantifiers (1/3),,,,,,2023-09-16,,
task,OOP-I: Inheritance (2/2),,,,,,2023-09-16,,
task,DSA-I: Linked lists (1/3),,,,,,2023-09-16,,
task,Eng-I: meaning (1/2),,,,,,2023-09-16,,
task,"DSA Lab: 2. Implement doubly linked list ADT (e.g Insert, delete, search, merge, reverse operations) (1/10)",,,,,,2023-09-16,,
task,DD-I: Boolean Algebra and Logic Gates (2/3),,,,,,2023-09-16,,
task,DD Lab: 1. Verification of Boolean Theorems using basic gates. (10/11),,,,,,2023-09-16,,
task,OOP Lab: 1. Build an application using classes and objects (Eg: Electricity bill generation) (10/12),,,,,,2023-09-16,,
task,DD-I: Boolean Algebra and Logic Gates (3/3),,,,,,2023-09-17,,
task,"DSA Lab: 2. Implement doubly linked list ADT (e.g Insert, delete, search, merge, reverse operations) (2/10)",,,,,,2023-09-17,,
task,Eng-I: meaning (2/2),,,,,,2023-09-17,,
task,OOP Lab: 1. Build an application using classes and objects (Eg: Electricity bill generation) (11/12),,,,,,2023-09-17,,
task,Math-I: Nested quantifiers (2/3),,,,,,2023-09-17,,
task,OOP-I: Poly- morphism (1/2),,,,,,2023-09-17,,
task,DD Lab: 1. Verification of Boolean Theorems using basic gates. (11/11),,,,,,2023-09-17,,
task,DSA-I: Linked lists (2/3),,,,,,2023-09-17,,
task,Eng-I: importance and process (1/2),,,,,,2023-09-18,,
task,Math-I: Nested quantifiers (3/3),,,,,,2023-09-18,,
task,"DD Lab: 2. Design and implementation of combinational circuits using basic gates for arbitrary functions, code
converters. (1/12)",,,,,,2023-09-18,,
task,"DSA Lab: 2. Implement doubly linked list ADT (e.g Insert, delete, search, merge, reverse operations) (3/10)",,,,,,2023-09-18,,
task,DSA-I: Linked lists (3/3),,,,,,2023-09-18,,
task,OOP-I: Poly- morphism (2/2),,,,,,2023-09-18,,
task,DD-I: Theorems and Properties of Boolean Algebra (1/2),,,,,,2023-09-18,,
task,OOP Lab: 1. Build an application using classes and objects (Eg: Electricity bill generation) (12/12),,,,,,2023-09-18,,
task,Eng-I: importance and process (2/2),,,,,,2023-09-19,,
task,OOP-I: Definition of Classes: Objects (1/3),,,,,,2023-09-19,,
task,OOP Lab: 2. Develop an application using Inheritance (Eg: Payroll application) (1/13),,,,,,2023-09-19,,
task,"DD Lab: 2. Design and implementation of combinational circuits using basic gates for arbitrary functions, code
converters. (2/12)",,,,,,2023-09-19,,
task,"DSA Lab: 2. Implement doubly linked list ADT (e.g Insert, delete, search, merge, reverse operations) (4/10)",,,,,,2023-09-19,,
task,Math-I: Rules of inference (1/3),,,,,,2023-09-19,,
task,DSA-I: Circular linked lists (1/3),,,,,,2023-09-19,,
task,DD-I: Theorems and Properties of Boolean Algebra (2/2),,,,,,2023-09-19,,
task,OOP Lab: 2. Develop an application using Inheritance (Eg: Payroll application) (2/13),,,,,,2023-09-20,,
task,Math-I: Rules of inference (2/3),,,,,,2023-09-20,,
task,"DD Lab: 2. Design and implementation of combinational circuits using basic gates for arbitrary functions, code
converters. (3/12)",,,,,,2023-09-20,,
task,DSA-I: Circular linked lists (2/3),,,,,,2023-09-20,,
task,DD-I: Boolean Functions (1/3),,,,,,2023-09-20,,
task,Eng-I: Continuous Happiness and Prosperity (1/1),,,,,,2023-09-20,,
task,OOP-I: Definition of Classes: Objects (2/3),,,,,,2023-09-20,,
task,"DSA Lab: 2. Implement doubly linked list ADT (e.g Insert, delete, search, merge, reverse operations) (5/10)",,,,,,2023-09-20,,
task,OOP Lab: 2. Develop an application using Inheritance (Eg: Payroll application) (3/13),,,,,,2023-09-21,,
task,Math-I: Rules of inference (3/3),,,,,,2023-09-21,,
task,OOP-I: Definition of Classes: Objects (3/3),,,,,,2023-09-21,,
task,Eng-I: A look at basic Human Aspirations (1/2),,,,,,2023-09-21,,
task,"DD Lab: 2. Design and implementation of combinational circuits using basic gates for arbitrary functions, code
converters. (4/12)",,,,,,2023-09-21,,
task,DSA-I: Circular linked lists (3/3),,,,,,2023-09-21,,
task,DD-I: Boolean Functions (2/3),,,,,,2023-09-21,,
task,"DSA Lab: 2. Implement doubly linked list ADT (e.g Insert, delete, search, merge, reverse operations) (6/10)",,,,,,2023-09-21,,
task,DD-I: Boolean Functions (3/3),,,,,,2023-09-22,,
task,Eng-I: A look at basic Human Aspirations (2/2),,,,,,2023-09-22,,
task,Math-I: Introduction to proofs (1/3),,,,,,2023-09-22,,
task,DSA-I: Doubly linked lists (1/3),,,,,,2023-09-22,,
task,OOP Lab: 2. Develop an application using Inheritance (Eg: Payroll application) (4/13),,,,,,2023-09-22,,
task,"DD Lab: 2. Design and implementation of combinational circuits using basic gates for arbitrary functions, code
converters. (5/12)",,,,,,2023-09-22,,
task,"DSA Lab: 2. Implement doubly linked list ADT (e.g Insert, delete, search, merge, reverse operations) (7/10)",,,,,,2023-09-22,,
task,OOP-I: Methods (1/2),,,,,,2023-09-22,,
task,DD-I: Canonical and Standard Forms (1/3),,,,,,2023-09-23,,
task,"DD Lab: 2. Design and implementation of combinational circuits using basic gates for arbitrary functions, code
converters. (6/12)",,,,,,2023-09-23,,
task,DSA-I: Doubly linked lists (2/3),,,,,,2023-09-23,,
task,OOP Lab: 2. Develop an application using Inheritance (Eg: Payroll application) (5/13),,,,,,2023-09-23,,
task,"DSA Lab: 2. Implement doubly linked list ADT (e.g Insert, delete, search, merge, reverse operations) (8/10)",,,,,,2023-09-23,,
task,Math-I: Introduction to proofs (2/3),,,,,,2023-09-23,,
task,Eng-I: Right understanding (1/2),,,,,,2023-09-23,,
task,OOP-I: Methods (2/2),,,,,,2023-09-23,,
task,Eng-I: Right understanding (2/2),,,,,,2023-09-24,,
task,"DSA Lab: 2. Implement doubly linked list ADT (e.g Insert, delete, search, merge, reverse operations) (9/10)",,,,,,2023-09-24,,
task,DSA-I: Doubly linked lists (3/3),,,,,,2023-09-24,,
task,OOP Lab: 2. Develop an application using Inheritance (Eg: Payroll application) (6/13),,,,,,2023-09-24,,
task,"DD Lab: 2. Design and implementation of combinational circuits using basic gates for arbitrary functions, code
converters. (7/12)",,,,,,2023-09-24,,
task,Math-I: Introduction to proofs (3/3),,,,,,2023-09-24,,
task,OOP-I: Access specifiers (1/2),,,,,,2023-09-24,,
task,DD-I: Canonical and Standard Forms (2/3),,,,,,2023-09-24,,
task,OOP Lab: 2. Develop an application using Inheritance (Eg: Payroll application) (7/13),,,,,,2023-09-25,,
task,DSA-I: Applications of Lists: Polynomial manipulation.  (1/3),,,,,,2023-09-25,,
task,DD-I: Canonical and Standard Forms (3/3),,,,,,2023-09-25,,
task,"DD Lab: 2. Design and implementation of combinational circuits using basic gates for arbitrary functions, code
converters. (8/12)",,,,,,2023-09-25,,
task,OOP-I: Access specifiers (2/2),,,,,,2023-09-25,,
task,"DSA Lab: 2. Implement doubly linked list ADT (e.g Insert, delete, search, merge, reverse operations) (10/10)",,,,,,2023-09-25,,
task,Math-I: Proof methods and strategy (1/3),,,,,,2023-09-25,,
task,Eng-I: Relationship and Physical Facilities (1/2),,,,,,2023-09-25,,
task,"DD Lab: 2. Design and implementation of combinational circuits using basic gates for arbitrary functions, code
converters. (9/12)",,,,,,2023-09-26,,
task,DD-I: Simplification of Boolean Functions using Karnaugh Map (1/3),,,,,,2023-09-26,,
task,OOP-I: Static and final classes and members (1/2),,,,,,2023-09-26,,
task,DSA-I: Applications of Lists: Polynomial manipulation.  (2/3),,,,,,2023-09-26,,
task,OOP Lab: 2. Develop an application using Inheritance (Eg: Payroll application) (8/13),,,,,,2023-09-26,,
task,"DSA Lab: 3. Implementation of Stack ADT (e.g Balancing parenthesis, infix to postfix conversion, evaluation of
postfix expression) (1/10)",,,,,,2023-09-26,,
task,Math-I: Proof methods and strategy (2/3),,,,,,2023-09-26,,
task,Eng-I: Relationship and Physical Facilities (2/2),,,,,,2023-09-26,,
task,OOP Lab: 2. Develop an application using Inheritance (Eg: Payroll application) (9/13),,,,,,2023-09-27,,
task,Eng-I: The basic requirements (1/2),,,,,,2023-09-27,,
task,DD-I: Simplification of Boolean Functions using Karnaugh Map (2/3),,,,,,2023-09-27,,
task,"DSA Lab: 3. Implementation of Stack ADT (e.g Balancing parenthesis, infix to postfix conversion, evaluation of
postfix expression) (2/10)",,,,,,2023-09-27,,
task,Math-I: Proof methods and strategy (3/3),,,,,,2023-09-27,,
task,"DD Lab: 2. Design and implementation of combinational circuits using basic gates for arbitrary functions, code
converters. (10/12)",,,,,,2023-09-27,,
task,DSA-I: Applications of Lists: Polynomial manipulation.  (3/3),,,,,,2023-09-27,,
task,OOP-I: Static and final classes and members (2/2),,,,,,2023-09-27,,
task,DSA-II: Stack ADT: Stack model (1/3),,,,,,2023-09-28,,
task,"DD Lab: 2. Design and implementation of combinational circuits using basic gates for arbitrary functions, code
converters. (11/12)",,,,,,2023-09-28,,
task,Math-I: Normal forms (1/3),,,,,,2023-09-28,,
task,OOP-I: Object Construction and Destruction (1/2),,,,,,2023-09-28,,
task,"DSA Lab: 3. Implementation of Stack ADT (e.g Balancing parenthesis, infix to postfix conversion, evaluation of
postfix expression) (3/10)",,,,,,2023-09-28,,
task,DD-I: Simplification of Boolean Functions using Karnaugh Map (3/3),,,,,,2023-09-28,,
task,OOP Lab: 2. Develop an application using Inheritance (Eg: Payroll application) (10/13),,,,,,2023-09-28,,
task,Eng-I: The basic requirements (2/2),,,,,,2023-09-28,,
task,"DSA Lab: 3. Implementation of Stack ADT (e.g Balancing parenthesis, infix to postfix conversion, evaluation of
postfix expression) (4/10)",,,,,,2023-09-29,,
task,DSA-II: Stack ADT: Stack model (2/3),,,,,,2023-09-29,,
task,Math-I: Normal forms (2/3),,,,,,2023-09-29,,
task,DD-I: Logic Gates (1/2),,,,,,2023-09-29,,
task,OOP Lab: 2. Develop an application using Inheritance (Eg: Payroll application) (11/13),,,,,,2023-09-29,,
task,Eng-I: Understanding Happiness and Prosperity (1/2),,,,,,2023-09-29,,
task,"DD Lab: 2. Design and implementation of combinational circuits using basic gates for arbitrary functions, code
converters. (12/12)",,,,,,2023-09-29,,
task,OOP-I: Object Construction and Destruction (2/2),,,,,,2023-09-29,,
task,DD Lab: 3. Design and implement half/full adder and subtractor. (1/11),,,,,,2023-09-30,,
task,DD-I: Logic Gates (2/2),,,,,,2023-09-30,,
task,"DSA Lab: 3. Implementation of Stack ADT (e.g Balancing parenthesis, infix to postfix conversion, evaluation of
postfix expression) (5/10)",,,,,,2023-09-30,,
task,OOP-I: Fundamental programming structures in Java (1/2),,,,,,2023-09-30,,
task,Eng-I: Understanding Happiness and Prosperity (2/2),,,,,,2023-09-30,,
task,OOP Lab: 2. Develop an application using Inheritance (Eg: Payroll application) (12/13),,,,,,2023-09-30,,
task,Math-I: Normal forms (3/3),,,,,,2023-09-30,,
task,DSA-II: Stack ADT: Stack model (3/3),,,,,,2023-09-30,,
task,Eng-I: A critical appraisal of the current scenario (1/2),,,,,,2023-10-01,,
task,Math-I: Applications to switching circuits.  (1/3),,,,,,2023-10-01,,
task,DD Lab: 3. Design and implement half/full adder and subtractor. (2/11),,,,,,2023-10-01,,
task,OOP Lab: 2. Develop an application using Inheritance (Eg: Payroll application) (13/13),,,,,,2023-10-01,,
task,"DSA Lab: 3. Implementation of Stack ADT (e.g Balancing parenthesis, infix to postfix conversion, evaluation of
postfix expression) (6/10)",,,,,,2023-10-01,,
task,OOP-I: Fundamental programming structures in Java (2/2),,,,,,2023-10-01,,
task,DD-I: NAND and NOR Implementations.  (1/3),,,,,,2023-10-01,,
task,DSA-II: Implementation of stacks (1/3),,,,,,2023-10-01,,
task,Math-I: Applications to switching circuits.  (2/3),,,,,,2023-10-02,,
task,"DSA Lab: 3. Implementation of Stack ADT (e.g Balancing parenthesis, infix to postfix conversion, evaluation of
postfix expression) (7/10)",,,,,,2023-10-02,,
task,DD-I: NAND and NOR Implementations.  (2/3),,,,,,2023-10-02,,
task,Eng-I: A critical appraisal of the current scenario (2/2),,,,,,2023-10-02,,
task,OOP-I: Streams: Input (1/2),,,,,,2023-10-02,,
task,OOP Lab: 3. Write a program to experiment with Polymorphism (E.g. Area of different shapes) (1/13),,,,,,2023-10-02,,
task,DD Lab: 3. Design and implement half/full adder and subtractor. (3/11),,,,,,2023-10-02,,
task,DSA-II: Implementation of stacks (2/3),,,,,,2023-10-02,,
task,OOP Lab: 3. Write a program to experiment with Polymorphism (E.g. Area of different shapes) (2/13),,,,,,2023-10-03,,
task,DSA-II: Implementation of stacks (3/3),,,,,,2023-10-03,,
task,Eng-I: Method to fulfil the above human aspirations (1/2),,,,,,2023-10-03,,
task,"DSA Lab: 3. Implementation of Stack ADT (e.g Balancing parenthesis, infix to postfix conversion, evaluation of
postfix expression) (8/10)",,,,,,2023-10-03,,
task,DD Lab: 3. Design and implement half/full adder and subtractor. (4/11),,,,,,2023-10-03,,
task,Math-I: Applications to switching circuits.  (3/3),,,,,,2023-10-03,,
task,DD-I: NAND and NOR Implementations.  (3/3),,,,,,2023-10-03,,
task,OOP-I: Streams: Input (2/2),,,,,,2023-10-03,,
task,"DSA Lab: 3. Implementation of Stack ADT (e.g Balancing parenthesis, infix to postfix conversion, evaluation of
postfix expression) (9/10)",,,,,,2023-10-04,,
task,DD Lab: 3. Design and implement half/full adder and subtractor. (5/11),,,,,,2023-10-04,,
task,DSA-II: Applications: Balancing symbols (1/3),,,,,,2023-10-04,,
task,Math-II: Mathematical induction (1/3),,,,,,2023-10-04,,
task,OOP Lab: 3. Write a program to experiment with Polymorphism (E.g. Area of different shapes) (3/13),,,,,,2023-10-04,,
task,DD-II: Combinational Circuits (1/3),,,,,,2023-10-04,,
task,Eng-I: Method to fulfil the above human aspirations (2/2),,,,,,2023-10-04,,
task,OOP-I: Output (1/3),,,,,,2023-10-04,,
task,"DSA Lab: 3. Implementation of Stack ADT (e.g Balancing parenthesis, infix to postfix conversion, evaluation of
postfix expression) (10/10)",,,,,,2023-10-05,,
task,Math-II: Mathematical induction (2/3),,,,,,2023-10-05,,
task,OOP-I: Output (2/3),,,,,,2023-10-05,,
task,DD Lab: 3. Design and implement half/full adder and subtractor. (6/11),,,,,,2023-10-05,,
task,DD-II: Combinational Circuits (2/3),,,,,,2023-10-05,,
task,OOP Lab: 3. Write a program to experiment with Polymorphism (E.g. Area of different shapes) (4/13),,,,,,2023-10-05,,
task,DSA-II: Applications: Balancing symbols (2/3),,,,,,2023-10-05,,
task,Eng-I: UNDERSTANDING and living in harmony at various levels.  (1/1),,,,,,2023-10-05,,
task,OOP Lab: 3. Write a program to experiment with Polymorphism (E.g. Area of different shapes) (5/13),,,,,,2023-10-06,,
task,DD-II: Combinational Circuits (3/3),,,,,,2023-10-06,,
task,Eng-II: An understanding human being as a co-existence of the sentient ‘I’ and the material ‘Body’ (1/2),,,,,,2023-10-06,,
task,OOP-I: Output (3/3),,,,,,2023-10-06,,
task,DD Lab: 3. Design and implement half/full adder and subtractor. (7/11),,,,,,2023-10-06,,
task,DSA-II: Applications: Balancing symbols (3/3),,,,,,2023-10-06,,
task,DSA Lab: 4. Implementation of Queue ADT (e.g Simulating printer jobs) (1/9),,,,,,2023-10-06,,
task,Math-II: Mathematical induction (3/3),,,,,,2023-10-06,,
task,OOP-I: String handling (1/2),,,,,,2023-10-07,,
task,DD-II: Analysis and Design Procedures (1/3),,,,,,2023-10-07,,
task,Eng-II: An understanding human being as a co-existence of the sentient ‘I’ and the material ‘Body’ (2/2),,,,,,2023-10-07,,
task,DD Lab: 3. Design and implement half/full adder and subtractor. (8/11),,,,,,2023-10-07,,
task,DSA-II: Infix to postfix conversion (1/3),,,,,,2023-10-07,,
task,OOP Lab: 3. Write a program to experiment with Polymorphism (E.g. Area of different shapes) (6/13),,,,,,2023-10-07,,
task,DSA Lab: 4. Implementation of Queue ADT (e.g Simulating printer jobs) (2/9),,,,,,2023-10-07,,
task,Math-II: Strong induction (1/3),,,,,,2023-10-07,,
task,DD-II: Analysis and Design Procedures (2/3),,,,,,2023-10-08,,
task,DD Lab: 3. Design and implement half/full adder and subtractor. (9/11),,,,,,2023-10-08,,
task,DSA Lab: 4. Implementation of Queue ADT (e.g Simulating printer jobs) (3/9),,,,,,2023-10-08,,
task,Math-II: Strong induction (2/3),,,,,,2023-10-08,,
task,OOP Lab: 3. Write a program to experiment with Polymorphism (E.g. Area of different shapes) (7/13),,,,,,2023-10-08,,
task,DSA-II: Infix to postfix conversion (2/3),,,,,,2023-10-08,,
task,Eng-II: Understanding the needs of Self (‘I’) and ‘Body’ (1/2),,,,,,2023-10-08,,
task,OOP-I: String handling (2/2),,,,,,2023-10-08,,
task,Math-II: Strong induction (3/3),,,,,,2023-10-09,,
task,DSA Lab: 4. Implementation of Queue ADT (e.g Simulating printer jobs) (4/9),,,,,,2023-10-09,,
task,OOP Lab: 3. Write a program to experiment with Polymorphism (E.g. Area of different shapes) (8/13),,,,,,2023-10-09,,
task,Eng-II: Understanding the needs of Self (‘I’) and ‘Body’ (2/2),,,,,,2023-10-09,,
task,OOP-I: Examples in Java.  (1/2),,,,,,2023-10-09,,
task,DD-II: Analysis and Design Procedures (3/3),,,,,,2023-10-09,,
task,DSA-II: Infix to postfix conversion (3/3),,,,,,2023-10-09,,
task,DD Lab: 3. Design and implement half/full adder and subtractor. (10/11),,,,,,2023-10-09,,
task,Math-II: The pigeonhole principle (1/3),,,,,,2023-10-10,,
task,DD Lab: 3. Design and implement half/full adder and subtractor. (11/11),,,,,,2023-10-10,,
task,Eng-II: Sukh and Suvidha (1/2),,,,,,2023-10-10,,
task,DSA-II: Evaluating postfix expressions (1/3),,,,,,2023-10-10,,
task,DD-II: Binary Adder (1/2),,,,,,2023-10-10,,
task,OOP-I: Examples in Java.  (2/2),,,,,,2023-10-10,,
task,DSA Lab: 4. Implementation of Queue ADT (e.g Simulating printer jobs) (5/9),,,,,,2023-10-10,,
task,OOP Lab: 3. Write a program to experiment with Polymorphism (E.g. Area of different shapes) (9/13),,,,,,2023-10-10,,
task,OOP-II: Inheritance: Definition (1/2),,,,,,2023-10-11,,
task,DD-II: Binary Adder (2/2),,,,,,2023-10-11,,
task,DSA-II: Evaluating postfix expressions (2/3),,,,,,2023-10-11,,
task,"DD Lab: 4. Design and implement combinational circuits using MSI devices:
• 4-bit binary adder/subtractor
• Parity generator/checker
• Magnitude Comparator
• Application using multiplexers (1/12)",,,,,,2023-10-11,,
task,Eng-II: Sukh and Suvidha (2/2),,,,,,2023-10-11,,
task,DSA Lab: 4. Implementation of Queue ADT (e.g Simulating printer jobs) (6/9),,,,,,2023-10-11,,
task,Math-II: The pigeonhole principle (2/3),,,,,,2023-10-11,,
task,OOP Lab: 3. Write a program to experiment with Polymorphism (E.g. Area of different shapes) (10/13),,,,,,2023-10-11,,
task,Math-II: The pigeonhole principle (3/3),,,,,,2023-10-12,,
task,OOP-II: Inheritance: Definition (2/2),,,,,,2023-10-12,,
task,Eng-II: Understanding the Body as an instrument of ‘I’ (I being the doer (1/2),,,,,,2023-10-12,,
task,DD-II: Subtractor (1/3),,,,,,2023-10-12,,
task,DSA Lab: 4. Implementation of Queue ADT (e.g Simulating printer jobs) (7/9),,,,,,2023-10-12,,
task,"DD Lab: 4. Design and implement combinational circuits using MSI devices:
• 4-bit binary adder/subtractor
• Parity generator/checker
• Magnitude Comparator
• Application using multiplexers (2/12)",,,,,,2023-10-12,,
task,DSA-II: Evaluating postfix expressions (3/3),,,,,,2023-10-12,,
task,OOP Lab: 3. Write a program to experiment with Polymorphism (E.g. Area of different shapes) (11/13),,,,,,2023-10-12,,
task,OOP Lab: 3. Write a program to experiment with Polymorphism (E.g. Area of different shapes) (12/13),,,,,,2023-10-13,,
task,Eng-II: Understanding the Body as an instrument of ‘I’ (I being the doer (2/2),,,,,,2023-10-13,,
task,"DD Lab: 4. Design and implement combinational circuits using MSI devices:
• 4-bit binary adder/subtractor
• Parity generator/checker
• Magnitude Comparator
• Application using multiplexers (3/12)",,,,,,2023-10-13,,
task,OOP-II: Types of inheritance: Single (1/2),,,,,,2023-10-13,,
task,DSA-II: Function calls (1/3),,,,,,2023-10-13,,
task,DSA Lab: 4. Implementation of Queue ADT (e.g Simulating printer jobs) (8/9),,,,,,2023-10-13,,
task,Math-II: Recurrence relations (1/3),,,,,,2023-10-13,,
task,DD-II: Subtractor (2/3),,,,,,2023-10-13,,
task,DSA-II: Function calls (2/3),,,,,,2023-10-14,,
task,OOP Lab: 3. Write a program to experiment with Polymorphism (E.g. Area of different shapes) (13/13),,,,,,2023-10-14,,
task,DD-II: Subtractor (3/3),,,,,,2023-10-14,,
task,DSA Lab: 4. Implementation of Queue ADT (e.g Simulating printer jobs) (9/9),,,,,,2023-10-14,,
task,Math-II: Recurrence relations (2/3),,,,,,2023-10-14,,
task,OOP-II: Types of inheritance: Single (2/2),,,,,,2023-10-14,,
task,"DD Lab: 4. Design and implement combinational circuits using MSI devices:
• 4-bit binary adder/subtractor
• Parity generator/checker
• Magnitude Comparator
• Application using multiplexers (4/12)",,,,,,2023-10-14,,
task,Eng-II: seer and enjoyer) (1/2),,,,,,2023-10-14,,
task,DSA-II: Function calls (3/3),,,,,,2023-10-15,,
task,"DD Lab: 4. Design and implement combinational circuits using MSI devices:
• 4-bit binary adder/subtractor
• Parity generator/checker
• Magnitude Comparator
• Application using multiplexers (5/12)",,,,,,2023-10-15,,
task,"OOP Lab: 4. Design a Java interface for ADTs. (E.g. Stack, Queue) (1/13)",,,,,,2023-10-15,,
task,Math-II: Recurrence relations (3/3),,,,,,2023-10-15,,
