,NAME,START
36,"4. Design and implement combinational circuits using MSI devices:
• 4-bit binary adder/subtractor
• Parity generator/checker
• Magnitude Comparator
• Application using multiplexers (2/12)",2023-10-10
37,"4. Design and implement combinational circuits using MSI devices:
• 4-bit binary adder/subtractor
• Parity generator/checker
• Magnitude Comparator
• Application using multiplexers (3/12)",2023-10-11
38,"4. Design and implement combinational circuits using MSI devices:
• 4-bit binary adder/subtractor
• Parity generator/checker
• Magnitude Comparator
• Application using multiplexers (4/12)",2023-10-12
39,"4. Design and implement combinational circuits using MSI devices:
• 4-bit binary adder/subtractor
• Parity generator/checker
• Magnitude Comparator
• Application using multiplexers (5/12)",2023-10-13
40,"4. Design and implement combinational circuits using MSI devices:
• 4-bit binary adder/subtractor
• Parity generator/checker
• Magnitude Comparator
• Application using multiplexers (6/12)",2023-10-14
41,"4. Design and implement combinational circuits using MSI devices:
• 4-bit binary adder/subtractor
• Parity generator/checker
• Magnitude Comparator
• Application using multiplexers (7/12)",2023-10-15
42,"4. Design and implement combinational circuits using MSI devices:
• 4-bit binary adder/subtractor
• Parity generator/checker
• Magnitude Comparator
• Application using multiplexers (8/12)",2023-10-16
43,"4. Design and implement combinational circuits using MSI devices:
• 4-bit binary adder/subtractor
• Parity generator/checker
• Magnitude Comparator
• Application using multiplexers (9/12)",2023-10-17
44,"4. Design and implement combinational circuits using MSI devices:
• 4-bit binary adder/subtractor
• Parity generator/checker
• Magnitude Comparator
• Application using multiplexers (10/12)",2023-10-18
45,"4. Design and implement combinational circuits using MSI devices:
• 4-bit binary adder/subtractor
• Parity generator/checker
• Magnitude Comparator
• Application using multiplexers (11/12)",2023-10-19
46,"4. Design and implement combinational circuits using MSI devices:
• 4-bit binary adder/subtractor
• Parity generator/checker
• Magnitude Comparator
• Application using multiplexers (12/12)",2023-10-20
47,5. Design and implement shift-registers. (1/12),2023-10-21
48,5. Design and implement shift-registers. (2/12),2023-10-22
49,5. Design and implement shift-registers. (3/12),2023-10-23
50,5. Design and implement shift-registers. (4/12),2023-10-24
51,5. Design and implement shift-registers. (5/12),2023-10-25
52,5. Design and implement shift-registers. (6/12),2023-10-26
53,5. Design and implement shift-registers. (7/12),2023-10-27
54,5. Design and implement shift-registers. (8/12),2023-10-28
55,5. Design and implement shift-registers. (9/12),2023-10-29
56,5. Design and implement shift-registers. (10/12),2023-10-30
57,5. Design and implement shift-registers. (11/12),2023-10-31
58,5. Design and implement shift-registers. (12/12),2023-11-01
59,6. Design and implement synchronous counters. (1/12),2023-11-02
60,6. Design and implement synchronous counters. (2/12),2023-11-03
61,6. Design and implement synchronous counters. (3/12),2023-11-04
62,6. Design and implement synchronous counters. (4/12),2023-11-05
63,6. Design and implement synchronous counters. (5/12),2023-11-06
64,6. Design and implement synchronous counters. (6/12),2023-11-07
65,6. Design and implement synchronous counters. (7/12),2023-11-08
66,6. Design and implement synchronous counters. (8/12),2023-11-09
67,6. Design and implement synchronous counters. (9/12),2023-11-10
68,6. Design and implement synchronous counters. (10/12),2023-11-11
69,6. Design and implement synchronous counters. (11/12),2023-11-12
70,6. Design and implement synchronous counters. (12/12),2023-11-13
71,7. Design and implement asynchronous counters. (1/12),2023-11-14
72,7. Design and implement asynchronous counters. (2/12),2023-11-15
73,7. Design and implement asynchronous counters. (3/12),2023-11-16
74,7. Design and implement asynchronous counters. (4/12),2023-11-17
75,7. Design and implement asynchronous counters. (5/12),2023-11-18
76,7. Design and implement asynchronous counters. (6/12),2023-11-19
77,7. Design and implement asynchronous counters. (7/12),2023-11-20
78,7. Design and implement asynchronous counters. (8/12),2023-11-21
79,7. Design and implement asynchronous counters. (9/12),2023-11-22
80,7. Design and implement asynchronous counters. (10/12),2023-11-23
81,7. Design and implement asynchronous counters. (11/12),2023-11-24
82,7. Design and implement asynchronous counters. (12/12),2023-11-25
83,8. Coding combinational circuits using HDL. (1/12),2023-11-26
84,8. Coding combinational circuits using HDL. (2/12),2023-11-27
85,8. Coding combinational circuits using HDL. (3/12),2023-11-28
86,8. Coding combinational circuits using HDL. (4/12),2023-11-29
87,8. Coding combinational circuits using HDL. (5/12),2023-11-30
88,8. Coding combinational circuits using HDL. (6/12),2023-12-01
89,8. Coding combinational circuits using HDL. (7/12),2023-12-02
90,8. Coding combinational circuits using HDL. (8/12),2023-12-03
91,8. Coding combinational circuits using HDL. (9/12),2023-12-04
92,8. Coding combinational circuits using HDL. (10/12),2023-12-05
93,8. Coding combinational circuits using HDL. (11/12),2023-12-06
94,8. Coding combinational circuits using HDL. (12/12),2023-12-07
95,9. Coding sequential circuits using HDL. (1/12),2023-12-08
96,9. Coding sequential circuits using HDL. (2/12),2023-12-09
97,9. Coding sequential circuits using HDL. (3/12),2023-12-10
98,9. Coding sequential circuits using HDL. (4/12),2023-12-11
99,9. Coding sequential circuits using HDL. (5/12),2023-12-12
100,9. Coding sequential circuits using HDL. (6/12),2023-12-13
101,9. Coding sequential circuits using HDL. (7/12),2023-12-14
102,9. Coding sequential circuits using HDL. (8/12),2023-12-15
103,9. Coding sequential circuits using HDL. (9/12),2023-12-16
104,9. Coding sequential circuits using HDL. (10/12),2023-12-17
105,9. Coding sequential circuits using HDL. (11/12),2023-12-18
106,9. Coding sequential circuits using HDL. (12/12),2023-12-19
107,10. Design and implementation of a simple digital system (Mini Project). (1/12),2023-12-20
108,10. Design and implementation of a simple digital system (Mini Project). (2/12),2023-12-21
109,10. Design and implementation of a simple digital system (Mini Project). (3/12),2023-12-22
110,10. Design and implementation of a simple digital system (Mini Project). (4/12),2023-12-23
111,10. Design and implementation of a simple digital system (Mini Project). (5/12),2023-12-24
112,10. Design and implementation of a simple digital system (Mini Project). (6/12),2023-12-25
113,10. Design and implementation of a simple digital system (Mini Project). (7/12),2023-12-26
114,10. Design and implementation of a simple digital system (Mini Project). (8/12),2023-12-27
115,10. Design and implementation of a simple digital system (Mini Project). (9/12),2023-12-28
116,10. Design and implementation of a simple digital system (Mini Project). (10/12),2023-12-29
117,10. Design and implementation of a simple digital system (Mini Project). (11/12),2023-12-30
118,10. Design and implementation of a simple digital system (Mini Project). (12/12),2023-12-31
