NAME,START,END
CO&A-II:  Multiplication,2024-03-18,2024-03-21
OS-II: Operations on processes,2024-03-18,2024-03-20
D&AA-II: Strassen’s matrix multiplication,2024-03-18,2024-03-22
DBMS-II: Basic retrieval queries,2024-03-19,2024-03-20
OSL: 4. Implement the various CPU Scheduling Algorithms,2024-03-19,2024-03-28
Math-I:  and Normal distributions,2024-03-20,2024-03-23
OS-II: Interprocess communication,2024-03-20,2024-03-22
DBMS-II: Insert,2024-03-20,2024-03-22
CO&A-II:  Division,2024-03-21,2024-03-23
OS-II:  Threads: Overview,2024-03-22,2024-03-23
D&AA-II:  Backtracking: Subset sum,2024-03-22,2024-03-25
DBMS-II:  delete and update commands,2024-03-22,2024-03-24
Math-I: Functions of random variable. ,2024-03-23,2024-03-26
CO&A-II:  Floating Point Representation: Floating point operations. ,2024-03-23,2024-03-26
OS-II: Multithreading models,2024-03-23,2024-03-25
DBMS-II: Schema modification,2024-03-24,2024-03-26
OS-II: Thread issues,2024-03-25,2024-03-27
D&AA-II: N-queens problem,2024-03-25,2024-03-29
Math-II: Joint distributions,2024-03-26,2024-03-30
CO&A-III: A Basic MIPS implementation: Building a datapath,2024-03-26,2024-03-29
DBMS-II:  More SQL: dealing NULL,2024-03-26,2024-03-28
OS-II:  CPU Scheduling: FCFS,2024-03-27,2024-03-29
DBMS-II: Tuples,2024-03-28,2024-03-29
OSL: 5. Implement Semaphores,2024-03-28,2024-04-07
CO&A-III: Control implementation scheme,2024-03-29,2024-03-31
OS-II:  SJF,2024-03-29,2024-03-31
D&AA-II: Hamiltonian circuit problem. ,2024-03-29,2024-04-01
DBMS-II:  Set/Multiset comparisons,2024-03-29,2024-03-31
Math-II: Marginal and conditional distributions,2024-03-30,2024-04-02
DBL: 4. Views,2024-03-30,2024-04-12
CO&A-III:  Pipelining: Pipelined datapath and control,2024-03-31,2024-04-03
OS-II:  Priority,2024-03-31,2024-04-01
DBMS-II: Correlated nested,2024-03-31,2024-04-02
OS-II:  Round robin,2024-04-01,2024-04-03
D&AA-III: Dynamic Programming: Computing a binomial coefficient,2024-04-01,2024-04-05
Math-II: Covariance,2024-04-02,2024-04-05
DBMS-II: EXISTS function,2024-04-02,2024-04-04
CO&A-III: Handling data hazards & Control hazards,2024-04-03,2024-04-05
OS-II:  Rate Monotonic and EDF scheduling,2024-04-03,2024-04-05
DBMS-II: SQL Renaming,2024-04-04,2024-04-05
Math-II: Correlation and linear regression,2024-04-05,2024-04-08
CO&A-III: Exceptions,2024-04-05,2024-04-08
OS-II:  Process synchronization,2024-04-05,2024-04-07
D&AA-III: Knapsack problem and memory functions,2024-04-05,2024-04-08
DBMS-II: JOIN and Outer JOINs,2024-04-05,2024-04-07
OS-II: Critical section problem,2024-04-07,2024-04-09
DBMS-II: Aggregate functions,2024-04-07,2024-04-09
OSL: 6. Implement Bankers Algorithm for Deadlock Avoidance,2024-04-07,2024-04-16
Math-II: Transformation of random variables,2024-04-08,2024-04-12
CO&A-III: Issues in predictive branching: Spectre and Meltdown. ,2024-04-08,2024-04-10
D&AA-III: Ordering of matrix multiplications,2024-04-08,2024-04-12
OS-II: Mutex locks,2024-04-09,2024-04-11
DBMS-II: Grouping. ,2024-04-09,2024-04-11
CO&A-IV: Memory Hierarchy,2024-04-10,2024-04-13
OS-II: Semaphores,2024-04-11,2024-04-12
DBMS-III: Triggers,2024-04-11,2024-04-12
Math-II: Central limit theorem (for independent and identically distributed random variables). ,2024-04-12,2024-04-15
OS-II:  Deadlocks,2024-04-12,2024-04-14
D&AA-III: Warshall’s and Floyd’s algorithm,2024-04-12,2024-04-15
DBMS-III: Views,2024-04-12,2024-04-14
DBL: 5. Database Programming:,2024-04-12,2024-04-25
CO&A-IV:  Memory technologies,2024-04-13,2024-04-15
OS-II: Avoidance,2024-04-14,2024-04-16
DBMS-III:  Database Programming Techniques: Overview and Issues,2024-04-14,2024-04-16
Math-III: Sampling distributions,2024-04-15,2024-04-18
CO&A-IV:  Cache Memory: Basics and cache mapping techniques,2024-04-15,2024-04-18
D&AA-III:  Greedy Technique: Dijkstra’s algorithm,2024-04-15,2024-04-18
OS-II: Prevention,2024-04-16,2024-04-18
DBMS-III: Embedded SQL,2024-04-16,2024-04-18
OSL: 7. Develop applications using threads,2024-04-16,2024-04-26
Math-III: Small and large sample test,2024-04-18,2024-04-21
CO&A-IV:  Measuring and improving cache performance,2024-04-18,2024-04-20
OS-II: Detection and Recovery. ,2024-04-18,2024-04-20
D&AA-III:  Prim’s algorithm,2024-04-18,2024-04-22
DBMS-III: JDBC,2024-04-18,2024-04-19
DBMS-III: Database Stored Procedures and SQL/PSM ,2024-04-19,2024-04-21
CO&A-IV:  Virtual Memory: TLBs,2024-04-20,2024-04-23
OS-III: Main Memory: Contiguous memory allocation,2024-04-20,2024-04-22
Math-III: Test based on Normal and t distribution (Single and difference of mean)– χ2,2024-04-21,2024-04-25
DBMS-III:  Design guidelines,2024-04-21,2024-04-23
OS-III: Segmentation,2024-04-22,2024-04-23
D&AA-III: Kruskal’s algorithm. ,2024-04-22,2024-04-25
CO&A-IV:  Accessing I/O devices,2024-04-23,2024-04-25
OS-III: Paging,2024-04-23,2024-04-25
DBMS-III: Functional dependencies,2024-04-23,2024-04-25
Math-III: Test for goodness of fit,2024-04-25,2024-04-28
CO&A-IV: Interrupts,2024-04-25,2024-04-28
OS-III: 32 and 64 bit architecture Examples,2024-04-25,2024-04-27
D&AA-IV: Iterative Improvement: Stable matching,2024-04-25,2024-04-29
DBMS-III: First,2024-04-25,2024-04-26
DBL: 6. Triggers,2024-04-25,2024-05-08
DBMS-III:  second and third Normal Forms,2024-04-26,2024-04-28
OSL: 8. Implement the following Memory Allocation Methods for variable sized partition: a) First Fit b) Worst,2024-04-26,2024-05-05
OS-III:  Virtual Memory: Demand paging,2024-04-27,2024-04-29
Math-III:  Independence of attributes,2024-04-28,2024-05-01
CO&A-IV:  Direct memory access,2024-04-28,2024-05-01
DBMS-III: Boyce-Codd Normal Forms,2024-04-28,2024-04-30
OS-III: Page replacement algorithms,2024-04-29,2024-05-01
D&AA-IV: Maximum Network Flow,2024-04-29,2024-05-02
DBMS-III:  FD: Inference rules,2024-04-30,2024-05-02
Math-III: F test for variance. ,2024-05-01,2024-05-04
CO&A-IV:  Bus structure,2024-05-01,2024-05-03
OS-III: Allocation of Frames,2024-05-01,2024-05-02
OS-III: Thrashing. ,2024-05-02,2024-05-04
D&AA-IV: Maximum matching in bipartite graphs,2024-05-02,2024-05-06
DBMS-III: Minimal cover,2024-05-02,2024-05-04
CO&A-IV: Bus operation,2024-05-03,2024-05-06
Math-IV: Completely randomized design,2024-05-04,2024-05-08
OS-IV: Mass Storage Structure: Overview,2024-05-04,2024-05-06
DBMS-III:  ER-to-relational mapping. ,2024-05-04,2024-05-05
DBMS-IV: Transaction Processing: Concepts,2024-05-05,2024-05-07
OSL: 9. Implement the following Page Replacement Algorithms a) FIFO b) LRU c) Optimal,2024-05-05,2024-05-15
CO&A-IV: Arbitration,2024-05-06,2024-05-08
OS-IV: Disk scheduling and management,2024-05-06,2024-05-08
D&AA-IV:  Branch and Bound: Knapsack problem,2024-05-06,2024-05-09
DBMS-IV: ACID properties,2024-05-07,2024-05-09
Math-IV: Randomized block design,2024-05-08,2024-05-11
CO&A-IV:  Interface circuits,2024-05-08,2024-05-11
OS-IV:  File System Storage: File concepts,2024-05-08,2024-05-10
DBL: 7. Database design,2024-05-08,2024-05-21
D&AA-IV: Traveling salesman problem. ,2024-05-09,2024-05-13
DBMS-IV: schedules,2024-05-09,2024-05-11
OS-IV: Directory and disk structure,2024-05-10,2024-05-12
Math-IV: Latin square design,2024-05-11,2024-05-14
CO&A-IV:  USB. ,2024-05-11,2024-05-13
DBMS-IV: serializability,2024-05-11,2024-05-12
OS-IV: Sharing and protection,2024-05-12,2024-05-13
DBMS-IV:  Concurrency control: Two-phase locking technique,2024-05-12,2024-05-14
CO&A-V: Parallel processing challenges,2024-05-13,2024-05-16
OS-IV:  File System Implementation: File system structure,2024-05-13,2024-05-15
D&AA-V: Limitations of algorithm power: Lower-bound arguments,2024-05-13,2024-05-16
Math-IV: Factorial design. ,2024-05-14,2024-05-17
DBMS-IV: Timestamp Ordering,2024-05-14,2024-05-16
OS-IV: Directory structure,2024-05-15,2024-05-17
OSL: 10. Implement the various File Organization Techniques a) Single-level b) Hierarchical,2024-05-15,2024-05-24
CO&A-V:  Flynn’s classification: SISD,2024-05-16,2024-05-18
D&AA-V: P,2024-05-16,2024-05-20
DBMS-IV:  Recovery: Concepts,2024-05-16,2024-05-18
Math-V: Control charts for measurements (X and R charts),2024-05-17,2024-05-21
OS-IV: Allocation methods,2024-05-17,2024-05-19
CO&A-V: MIMD,2024-05-18,2024-05-21
DBMS-IV: Deferred update,2024-05-18,2024-05-19
OS-IV: Free space management. ,2024-05-19,2024-05-21
DBMS-IV: Immediate update. ,2024-05-19,2024-05-21
D&AA-V:  NP and NP-complete problems,2024-05-20,2024-05-23
Math-V: Control charts for attributes (p,2024-05-21,2024-05-24
CO&A-V: SIMD,2024-05-21,2024-05-23
OS-V: Linux Vs Windows: Design principles,2024-05-21,2024-05-23
DBMS-V: Distributed Database Concepts,2024-05-21,2024-05-23
DBL: 8. Implement a database application by applying database design and database programming using library,2024-05-21,2024-06-03
CO&A-V: SPMD and Vector Architectures,2024-05-23,2024-05-26
OS-V: Process management,2024-05-23,2024-05-24
D&AA-V:  Coping with the Limitations of Algorithm Power: Approximation algorithms for NP-Hard problems,2024-05-23,2024-05-27
DBMS-V: Data fragmentation and Replication,2024-05-23,2024-05-25
Math-V:  c and np charts),2024-05-24,2024-05-27
OS-V: Scheduling,2024-05-24,2024-05-26
OSL: 11. Implement the following File Allocation Strategies a) Sequential b) Indexed c) Linked,2024-05-24,2024-06-03
DBMS-V: Allocation techniques,2024-05-25,2024-05-26
CO&A-V:  Hardware multithreading,2024-05-26,2024-05-28
OS-V: Memory management,2024-05-26,2024-05-28
DBMS-V:  Introduction to NOSQL Systems,2024-05-26,2024-05-28
Math-V: Tolerance limits,2024-05-27,2024-05-30
D&AA-V: Traveling salesman problem,2024-05-27,2024-05-30
CO&A-V:  Multi-core processors and other shared memory multiprocessors,2024-05-28,2024-05-31
OS-V: File systems,2024-05-28,2024-05-30
DBMS-V: The CAP Theorem,2024-05-28,2024-05-30
Math-V: Acceptance sampling.,2024-05-30,2024-06-03
OS-V:  Mobile OS: iOS and Android,2024-05-30,2024-06-01
D&AA-V: Knapsack problem.,2024-05-30,2024-06-03
DBMS-V: Document-Based NOSQL Systems and MongoDB,2024-05-30,2024-06-01
CO&A-V:  Introduction to Graphics Processing Units,2024-05-31,2024-06-03
OS-V: Introduction and architecture.,2024-06-01,2024-06-03
DBMS-V: Column-based NOSQL systems.,2024-06-01,2024-06-03
