NAME,START,END
Math-IV: Subgroups Homomorphisms,2023-11-27,2023-11-29
DSA-IV:  Graph Traversals: Breadth-first traversal,2023-11-27,2023-11-29
Eng-II:  Pro- grams to ensure Sanyam and Swasthya. ,2023-11-27,2023-11-28
DD-C-I: Canonical and Standard Forms,2023-11-27,2023-12-01
Eng-III: Understanding harmony in the family : The basic unit of human interaction,2023-11-28,2023-11-29
DD-III: State Reduction and Assignment,2023-11-28,2023-11-30
DSA-C-II: Stack ADT: Stack model,2023-11-28,2023-12-01
OOP-IV: Examples in Java. ,2023-11-28,2023-11-30
OOP-C-I: Examples in Java. ,2023-11-28,2023-11-30
Math-C-I: Normal forms,2023-11-28,2023-12-01
DSA-IV: Depth-first traversal,2023-11-29,2023-12-01
Eng-III:  understanding values in a human-to-human relationship,2023-11-29,2023-11-30
Math-IV: Normal subgroup and coset,2023-11-29,2023-12-01
Eng-III:  Understanding Trust : The foundational value in relationship,2023-11-30,2023-12-01
OOP-V: ALGORITHMS 9 Introduction to collections,2023-11-30,2023-12-01
OOP-C-II: Inheritance: Definition,2023-11-30,2023-12-01
DD-III: Design Procedure,2023-11-30,2023-12-01
DD-III: Registers and Counters,2023-12-01,2023-12-03
DSA-C-II: Implementation of stacks,2023-12-01,2023-12-03
Math-IV: Lagrange’s theorem,2023-12-01,2023-12-02
OOP-V: Collection Classes and Interfaces: Array list,2023-12-01,2023-12-03
OOP-C-II: Types of inheritance: Single,2023-12-01,2023-12-03
Math-C-I: Applications to switching circuits. ,2023-12-01,2023-12-03
DSA-IV:  Topological sort,2023-12-01,2023-12-02
DD-C-I: Simplification of Boolean Functions using Karnaugh Map,2023-12-01,2023-12-04
DD Lab: 6. Design and implement synchronous counters.,2023-12-01,2023-12-05
Eng-III:  Difference between intention and competence,2023-12-01,2023-12-02
Eng-III:  Understanding Respect : as the right evaluation,2023-12-02,2023-12-03
DSA-IV: Shortest-Path Algorithms: Dijkstra’s algorithm,2023-12-02,2023-12-04
Math-IV: Definitions and examples of Rings and Fields. ,2023-12-02,2023-12-04
DD-III: HDL Models of Sequential Circuits. ,2023-12-03,2023-12-04
Math-C-II: Mathematical induction,2023-12-03,2023-12-06
OOP-V: Linked list,2023-12-03,2023-12-05
DSA-C-II: Applications: Balancing symbols,2023-12-03,2023-12-06
OOP-C-II: Multilevel,2023-12-03,2023-12-04
Eng-III:  Difference between respect and differentiation,2023-12-03,2023-12-04
DSA-IV: All-pairs shortest path. ,2023-12-04,2023-12-06
OOP-C-II: Multiple,2023-12-04,2023-12-05
Math-V: Partial ordering,2023-12-04,2023-12-06
DD-IV: Analysis and Design of Asynchronous Sequential Circuits,2023-12-04,2023-12-06
DD-C-I: Logic Gates,2023-12-04,2023-12-08
Eng-III:  the other salient values in a relationship,2023-12-04,2023-12-05
Eng-III:  Understanding the harmony in the society : comprehensive Human Goals,2023-12-05,2023-12-06
OOP-C-II: Hierarchical,2023-12-05,2023-12-07
DD Lab: 7. Design and implement asynchronous counters.,2023-12-05,2023-12-09
OOP-V: Queue,2023-12-05,2023-12-07
DSA-V: Sorting: Insertion sort,2023-12-06,2023-12-08
DD-IV: Reduction of State and Flow Tables,2023-12-06,2023-12-08
DSA-C-II: Infix to postfix conversion,2023-12-06,2023-12-08
Math-V: Posets,2023-12-06,2023-12-08
Math-C-II: Strong induction,2023-12-06,2023-12-08
Eng-III:  Visualizing a universal harmonious order in society: Undivided Society,2023-12-06,2023-12-07
OOP-V: Set,2023-12-07,2023-12-09
Eng-III:  Universal Order : From family to world family! ,2023-12-07,2023-12-08
OOP-C-II:  Subclass constructors,2023-12-07,2023-12-08
OOP-C-II: Interfaces in Java: Definition,2023-12-08,2023-12-09
DD-IV: Race-free State Assignment,2023-12-08,2023-12-09
DD-C-I: NAND and NOR Implementations. ,2023-12-08,2023-12-11
Eng-IV: Understanding the harmony in Nature Interconnectedness self-regulation and mutual fulfilment among the four orders of nature : recyclability,2023-12-08,2023-12-09
DSA-V: Shell sort,2023-12-08,2023-12-10
Math-C-II: The pigeonhole principle,2023-12-08,2023-12-11
DSA-C-II: Evaluating postfix expressions,2023-12-08,2023-12-11
Math-V: Lattices as Posets,2023-12-08,2023-12-10
OOP-V: Trees,2023-12-09,2023-12-11
DD Lab: 8. Coding combinational circuits using HDL.,2023-12-09,2023-12-13
Eng-IV:  Understanding Existence as Coexistence of mutually interacting units in all-pervasive space,2023-12-09,2023-12-10
DD-IV: Hazards. ,2023-12-09,2023-12-11
OOP-C-II: Implementation,2023-12-09,2023-12-11
DSA-V: Radix Exchange sort,2023-12-10,2023-12-12
Eng-IV:  Holistic perception of harmony at all levels of existence. ,2023-12-10,2023-12-11
Math-V: Properties of lattices,2023-12-10,2023-12-12
OOP-C-II: Extending interfaces,2023-12-11,2023-12-12
DD-C-II: Combinational Circuits,2023-12-11,2023-12-15
DD-V: RAM,2023-12-11,2023-12-12
OOP-V:  Iterators for collections,2023-12-11,2023-12-12
Eng-V: Natural acceptance of human values,2023-12-11,2023-12-12
DSA-C-II: Function calls,2023-12-11,2023-12-14
Math-C-II: Recurrence relations,2023-12-11,2023-12-14
OOP-V: Map class,2023-12-12,2023-12-14
Eng-V:  Definitiveness of Ethical Human Conduct,2023-12-12,2023-12-13
Math-V: Lattices as algebraic systems,2023-12-12,2023-12-14
OOP-C-II: Inheritance versus delegation,2023-12-12,2023-12-13
DD-V: Memory Decoding,2023-12-12,2023-12-14
DSA-V:  Hashing: Hash function,2023-12-12,2023-12-14
DD Lab: 9. Coding sequential circuits using HDL.,2023-12-13,2023-12-17
Eng-V:  Basis for Humanistic Education,2023-12-13,2023-12-14
OOP-C-II: Inheritance rules,2023-12-13,2023-12-15
Math-C-II: Partition of integers,2023-12-14,2023-12-16
Math-V: Sublattices,2023-12-14,2023-12-16
DSA-V: Separate chaining,2023-12-14,2023-12-16
Eng-V:  Humanistic Constitution and Humanistic Universal Order,2023-12-14,2023-12-15
DD-V: Error Detection and Correction,2023-12-14,2023-12-15
DSA-C-II:  Queue ADT: Queue model,2023-12-14,2023-12-16
OOP-V: Collection algorithms: Sorting,2023-12-14,2023-12-16
OOP-C-II: Inner classes,2023-12-15,2023-12-16
Eng-V:  Competence in Professional Ethics : augmenting universal human order,2023-12-15,2023-12-16
DD-C-II: Analysis and Design Procedures,2023-12-15,2023-12-18
DD-V: ROM,2023-12-15,2023-12-17
OOP-C-II: Examples in Java. ,2023-12-16,2023-12-17
Math-V: Direct product and Homomorphism,2023-12-16,2023-12-18
OOP-V: Searching,2023-12-16,2023-12-18
Math-C-II: Solving linear recurrence relations using generating functions,2023-12-16,2023-12-19
DSA-C-II: Array implementation of queues,2023-12-16,2023-12-19
DSA-V: Open addressing,2023-12-16,2023-12-18
Eng-V:  the scope and characteristics of people-friendly and eco-friendly,2023-12-16,2023-12-17
DD Lab: 10. Design and implementation of a simple digital system (Mini Project).,2023-12-17,2023-12-22
DD-V: Programmable Logic Array,2023-12-17,2023-12-18
OOP-C-III: Polymorphism: Method overloading and overriding,2023-12-17,2023-12-19
Eng-V:  Holistic Technologies,2023-12-17,2023-12-18
Eng-V:  production systems and management models : Case studies,2023-12-18,2023-12-19
DSA-V: Rehashing,2023-12-18,2023-12-20
DD-V: Programmable Array Logic,2023-12-18,2023-12-20
Math-V:  Boolean algebra,2023-12-18,2023-12-20
OOP-V: User-defined algorithms,2023-12-18,2023-12-20
DD-C-II: Binary Adder–Subtractor –,2023-12-18,2023-12-22
DSA-C-II: Applications of queues.,2023-12-19,2023-12-22
OOP-C-III: Dynamic method dispatch,2023-12-19,2023-12-20
Math-C-II: Inclusion and Exclusion Principle and its applications.,2023-12-19,2023-12-22
Eng-V:  Strategy for the transition from the present state to Universal Human Order : At the level of individual: as socially and ecologically responsible engineers technologists and managers,2023-12-19,2023-12-20
OOP-C-III: ,2023-12-20,2023-12-22
DD-V: Sequential Programmable Devices. ,2023-12-20,2023-12-22
Eng-V:  At the level of society: as mutually enriching institutions and organizations. ,2023-12-20,2023-12-22
DSA-V: Extendible hashing. ,2023-12-20,2023-12-22
OOP-V: Examples in Java. ,2023-12-20,2023-12-22
Math-V: Stone’s representation Theorem. ,2023-12-20,2023-12-22
